id,slug,name,category,specificCategory,postcodeArea,location,address,phone,email,website,facebook,instagram,shortDescription,about,services,logo,heroImage,cardImage,gallery,featured,verified,logoStatus
jock-the-lock,,Jock The Lock,Trades & Services,Locksmiths,NP44,Cwmbran,,,,,,,"Independent local locksmith providing experienced lockout, lock repair and security services across Torfaen, Newport and surrounding areas.",,Emergency locksmith | Lockout support | Lock repairs | Lock changes | Car entry | 24/7 locksmith service,assets/images/businesses/jock-the-lock/jock-the-lock-hero.jpg,assets/images/businesses/jock-the-lock/jock-the-lock-hero.jpg,assets/images/businesses/jock-the-lock/jock-the-lock-hero.jpg,assets/images/businesses/jock-the-lock/jock-the-lock-gallery-01.jpg,false,true,
mosswood-industrial-supplies,,Mosswood Industrial Supplies,Shopping & Retail,Industrial Supplies,NP44,Cwmbran,,,,,,,"Cwmbran industrial supplier offering tools, compressors, welding equipment, workshop products and garden supplies.",,Tools and equipment | Compressors | Pneumatic tools | Welding equipment | Cutting equipment | Workshop and garden supplies,assets/images/businesses/mosswood-industrial-supplies/mosswood-industrial-supplies-logo-pending.svg,assets/images/hero/np-local-business-legacy-hero.png,assets/images/businesses/mosswood-industrial-supplies/mosswood-industrial-supplies-logo-pending.svg,,false,true,temporary-name-card
mg-carpets-and-rugs,,MG Carpets & Rugs,Home & Garden,Carpets & Rugs,NP,Cwmbran,,,,,,,"Family-run flooring specialists supplying quality carpets, rugs and flooring to domestic and commercial customers.",,Carpets | Rugs | Domestic flooring | Commercial flooring | Flooring advice | Competitive flooring supply,assets/images/businesses/mg-carpets-and-rugs/mg-carpets-and-rugs-logo.png,assets/images/hero/sugar-loaf-abergavenny-panoramic.png,,,false,true,
iris-blue-celebrancy,,Iris Blue Celebrancy,"Health, Beauty & Lifestyle",Celebrants,NP,Newport,,,,,,,"Warm, personal celebrancy services for weddings, farewells and meaningful life moments across South Wales.",,Wedding ceremonies | Celebrant-led weddings | Naming ceremonies | Funeral celebrancy | Personal ceremonies | Story-led ceremony writing,assets/images/businesses/iris-blue-celebrancy/iris-blue-celebrancy-hero.jpg,assets/images/businesses/iris-blue-celebrancy/iris-blue-celebrancy-gallery-01.jpg,assets/images/businesses/iris-blue-celebrancy/iris-blue-celebrancy-hero.jpg,assets/images/businesses/iris-blue-celebrancy/iris-blue-celebrancy-gallery-04.jpg | assets/images/businesses/iris-blue-celebrancy/iris-blue-celebrancy-gallery-02.png | assets/images/businesses/iris-blue-celebrancy/iris-blue-celebrancy-gallery-03.png | assets/images/businesses/iris-blue-celebrancy/iris-blue-celebrancy-logo.jpg,true,true,
springvale-mot-centre-cwmbran,,"Springvale MOT Centre, Cwmbran",Motoring & Transport,Garages,NP44,Cwmbran,,,,,,,"Cwmbran MOT and service centre providing garage, repair and testing services for cars, vans and motorcycles.",,MOT testing | Vehicle servicing | Car repairs | Van repairs | Motorcycle support | Garage diagnostics,assets/images/businesses/springvale-mot-centre-cwmbran/springvale-mot-centre-cwmbran-gallery-01.jpg,assets/images/businesses/springvale-mot-centre-cwmbran/springvale-mot-centre-cwmbran-hero.jpg,assets/images/businesses/springvale-mot-centre-cwmbran/springvale-mot-centre-cwmbran-gallery-01.jpg,assets/images/businesses/springvale-mot-centre-cwmbran/springvale-mot-centre-cwmbran-gallery-01.jpg,false,true,
groves-gas,,Groves Gas,Trades & Services,Gas Engineers,NP44,Cwmbran,,,,,,,"Family-run gas, plumbing and heating specialists delivering professional service across South East Wales.",,Gas engineering | Plumbing services | Heating services | Boiler support | Gas safety work | Guaranteed workmanship,assets/images/businesses/groves-gas/groves-gas-logo.jpg,assets/images/businesses/groves-gas/groves-gas-hero.jpg,,assets/images/businesses/groves-gas/groves-gas-gallery-01.png,false,true,
gazlocks-locksmiths,,Gazlocks Locksmiths,Trades & Services,Locksmiths,NP,Cwmbran,,,,,,,Independent locksmith covering NP and CF postcodes with 24/7 lockout and lock change services.,,24/7 lockouts | Lock changes | Lock repairs | Domestic locksmiths | Commercial locksmiths | NP and CF postcode cover,assets/images/businesses/gazlocks-locksmiths/gazlocks-locksmiths-logo.png,assets/images/businesses/gazlocks-locksmiths/gazlocks-locksmiths-hero.jpg,assets/images/businesses/gazlocks-locksmiths/gazlocks-locksmiths-logo.png,,true,true,
phil-retter-car-sales,,Phil Retter Car Sales,Motoring & Transport,Car Sales,NP11,Newport,,,,,,,"Experienced Risca used car dealership offering quality vehicles, competitive prices and helpful customer service.",,Used car sales | Vehicle sourcing | Part exchange | Budget-friendly cars | Customer advice | Local dealership service,assets/images/businesses/phil-retter-car-sales/phil-retter-car-sales-gallery-01.jpg,assets/images/businesses/phil-retter-car-sales/phil-retter-car-sales-hero.jpg,assets/images/businesses/phil-retter-car-sales/phil-retter-car-sales-gallery-01.jpg,assets/images/businesses/phil-retter-car-sales/phil-retter-car-sales-gallery-01.jpg | assets/images/businesses/phil-retter-car-sales/phil-retter-car-sales-gallery-02.jpg,false,true,
red-hat-printing-and-embroidery,,Red Hat Printing & Embroidery,Professional Services,Printing,NP,Newport,,,,,,,Newport-based printing and embroidery business supplying branded clothing and promotional print across South Wales and the UK.,,Clothing printing | Embroidery | T-shirts and polo shirts | Hoodies and workwear | Schoolwear | Promotional printing,assets/images/businesses/red-hat-printing-and-embroidery/red-hat-printing-and-embroidery-gallery-01.jpg,assets/images/businesses/red-hat-printing-and-embroidery/red-hat-printing-and-embroidery-hero.jpg,assets/images/businesses/red-hat-printing-and-embroidery/red-hat-printing-and-embroidery-gallery-01.jpg,assets/images/businesses/red-hat-printing-and-embroidery/red-hat-printing-and-embroidery-logo.jpg | assets/images/businesses/red-hat-printing-and-embroidery/red-hat-printing-and-embroidery-gallery-02.jpg | assets/images/businesses/red-hat-printing-and-embroidery/red-hat-printing-and-embroidery-gallery-03.jpg | assets/images/businesses/red-hat-printing-and-embroidery/red-hat-printing-and-embroidery-gallery-04.jpg,false,true,
murray-s-minibus-hire,,Murray's Minibus Hire,Motoring & Transport,Minibus Hire,NP,Pontypool,,,,,,,Pontypool minibus hire company offering reliable transport for local and UK journeys in vehicles from 8 to 44 seats.,,8-seat minibus hire | 16-seat minibus hire | 33-seat minibus hire | 44-seat minibus hire | UK transport | Group travel,assets/images/businesses/murray-s-minibus-hire/murray-s-minibus-hire-hero.jpg,assets/images/businesses/murray-s-minibus-hire/murray-s-minibus-hire-hero.jpg,assets/images/businesses/murray-s-minibus-hire/murray-s-minibus-hire-hero.jpg,assets/images/businesses/murray-s-minibus-hire/murray-s-minibus-hire-gallery-01.jpg,false,true,
pure-vans-ltd,,Pure Vans Ltd,Motoring & Transport,Vehicle Leasing,NP19,Newport,,,,,,,Independent Newport van specialist sourcing new and pre-registered light commercial vehicles from leading manufacturers.,,New van sourcing | Pre-registered vans | Light commercial vehicles | Van sales | Telephone sales support | Online vehicle sourcing,assets/images/businesses/pure-vans-ltd/pure-vans-ltd-gallery-01.png,assets/images/businesses/pure-vans-ltd/pure-vans-ltd-hero.jpg,assets/images/businesses/pure-vans-ltd/pure-vans-ltd-gallery-01.png,assets/images/businesses/pure-vans-ltd/pure-vans-ltd-gallery-02.jpg | assets/images/businesses/pure-vans-ltd/pure-vans-ltd-gallery-03.png,false,true,
frets-guitars,,Frets Guitars,Shopping & Retail,Music Shops,NP,Pontypool,,,,,,,"Pontypool guitar shop offering repairs, professional setups and handpicked sales with honest, careful service from owner Dave Holland.",,Guitar repairs | Professional setups | Guitar sales | Acoustic guitar work | Electric guitar work | Instrument advice,assets/images/businesses/frets-guitars/frets-guitars-logo.png,assets/images/businesses/frets-guitars/frets-guitars-hero.jpg,assets/images/businesses/frets-guitars/frets-guitars-logo.png,assets/images/businesses/frets-guitars/frets-guitars-gallery-01.png | assets/images/businesses/frets-guitars/frets-guitars-gallery-02.jpg,true,true,
goytre-car-company,,Goytre Car Company,Motoring & Transport,Car Sales,NP4,Pontypool,,,,,,,Established Pontypool used car and commercial vehicle dealer offering quality vehicles and straightforward customer service.,,Used car sales | Commercial vehicle sales | Vehicle sourcing | Stock list enquiries | Customer support | Local dealership service,assets/images/businesses/goytre-car-company/goytre-car-company-gallery-01.jpg,assets/images/businesses/goytre-car-company/goytre-car-company-hero.jpg,assets/images/businesses/goytre-car-company/goytre-car-company-gallery-01.jpg,assets/images/businesses/goytre-car-company/goytre-car-company-gallery-01.jpg | assets/images/businesses/goytre-car-company/goytre-car-company-gallery-02.jpg,false,true,
cwmbran-curtains-and-blinds,,Cwmbran Curtains & Blinds,Home & Garden,Curtains & Blinds,NP20,Newport,,,,,,,Made-to-measure curtain and blind specialists with decades of experience helping customers choose and fit the right finish.,,Made-to-measure curtains | Ready-made curtains | Blinds | Fabric selection | Measuring support | Fitting service,assets/images/businesses/cwmbran-curtains-and-blinds/cwmbran-curtains-and-blinds-hero.jpg,assets/images/businesses/cwmbran-curtains-and-blinds/cwmbran-curtains-and-blinds-gallery-01.png,assets/images/businesses/cwmbran-curtains-and-blinds/cwmbran-curtains-and-blinds-hero.jpg,assets/images/businesses/cwmbran-curtains-and-blinds/cwmbran-curtains-and-blinds-logo.jpg | assets/images/businesses/cwmbran-curtains-and-blinds/cwmbran-curtains-and-blinds-gallery-02.jpg | assets/images/businesses/cwmbran-curtains-and-blinds/cwmbran-curtains-and-blinds-gallery-03.jpg,false,true,
b-active-sports-massage-and-therapy,,B Active Sports Massage & Therapy,"Health, Beauty & Lifestyle",Sports Massage,NP44,Cwmbran,,,,,,,"Cwmbran sports clinic providing professional sports massage, injury support and therapy in a friendly setting.",,Sports massage | Injury support | Massage therapy | Rehabilitation support | Non-sports treatments | Client care plans,assets/images/businesses/b-active-sports-massage-and-therapy/b-active-sports-massage-and-therapy-hero.png,assets/images/businesses/b-active-sports-massage-and-therapy/b-active-sports-massage-and-therapy-hero.png,assets/images/businesses/b-active-sports-massage-and-therapy/b-active-sports-massage-and-therapy-hero.png,assets/images/businesses/b-active-sports-massage-and-therapy/b-active-sports-massage-and-therapy-gallery-01.png,false,true,
the-little-computer-shop,,The Little Computer Shop,Professional Services,Computers & Repair,NP4,Pontypool,,,,,,,"Griffithstown computer engineers offering fast, friendly and reliable repairs, support and service.",,Computer repairs | Laptop repairs | PC support | Diagnostics | Friendly technical advice | Warranted service,assets/images/businesses/the-little-computer-shop/the-little-computer-shop-logo-pending.svg,assets/images/hero/np-local-business-legacy-hero.png,assets/images/businesses/the-little-computer-shop/the-little-computer-shop-logo-pending.svg,,false,true,temporary-name-card
happier-feet,,Happier Feet,"Health, Beauty & Lifestyle",Chiropodists,NP11,Newport,,,,,,,"Risca foot care clinic providing competitively priced treatments, after-care and home visit options.",,Foot care treatments | After-care advice | Clinic appointments | Home visits | Diabetic foot support | General foot pain support,assets/images/businesses/happier-feet/happier-feet-gallery-01.jpg,assets/images/businesses/happier-feet/happier-feet-hero.jpg,assets/images/businesses/happier-feet/happier-feet-gallery-01.jpg,assets/images/businesses/happier-feet/happier-feet-gallery-01.jpg | assets/images/businesses/happier-feet/happier-feet-gallery-02.jpg,false,true,
one2one-estate-agents-ltd,,One2One Estate Agents Ltd,Professional Services,Estate Agents,NP,Cwmbran,,,,,,,Local estate agency offering transparent property sales support with fixed fees and a high street presence.,,Property sales | Fixed-fee selling | Property valuations | Seller guidance | High street estate agency | Online property support,assets/images/businesses/one2one-estate-agents-ltd/one2one-estate-agents-ltd-logo.jpg,assets/images/businesses/one2one-estate-agents-ltd/one2one-estate-agents-ltd-hero.webp,assets/images/businesses/one2one-estate-agents-ltd/one2one-estate-agents-ltd-logo.jpg,assets/images/businesses/one2one-estate-agents-ltd/one2one-estate-agents-ltd-gallery-01.jpg,false,true,
windsor-wedding-car-hire,,Windsor Wedding Car Hire,Motoring & Transport,Wedding Car Hire,NP,Pontypool,,,,,,,"Pontypool wedding and special occasion car hire service covering Newport, Cwmbran, Abergavenny, Cardiff and nearby areas.",,Wedding car hire | Special occasion cars | Executive car hire | Local wedding transport | Personal service | Pontypool-based coverage,assets/images/businesses/windsor-wedding-car-hire/windsor-wedding-car-hire-logo-pending.svg,assets/images/hero/sugar-loaf-abergavenny-panoramic.png,assets/images/businesses/windsor-wedding-car-hire/windsor-wedding-car-hire-logo-pending.svg,,false,true,temporary-name-card
beds-direct,,Beds Direct,Home & Garden,Furniture,NP18,Newport,,,,,,,"Caerleon showroom offering a large range of quality beds, mattresses and bedroom furniture with efficient delivery options.",,Beds | Mattresses | Divans | Bed frames | Bedroom furniture | Express delivery,assets/images/businesses/beds-direct/beds-direct-logo.jpg,assets/images/businesses/beds-direct/beds-direct-hero.png,,assets/images/businesses/beds-direct/beds-direct-gallery-01.jpg | assets/images/businesses/beds-direct/beds-direct-gallery-02.jpg | assets/images/businesses/beds-direct/beds-direct-gallery-03.jpg,false,true,
cwmbran-door-centre,,Cwmbran Door Centre,Trades & Services,Doors,NP,Cwmbran,,,,,,,"Family-run door and flooring supplier offering internal doors, laminate, solid wood flooring and specialist fitting.",,Internal doors | Door supply | Solid wood flooring | Laminate flooring | Specialist fitting | Family-run advice,assets/images/businesses/cwmbran-door-centre/cwmbran-door-centre-logo-pending.svg,assets/images/hero/sugar-loaf-abergavenny-panoramic.png,assets/images/businesses/cwmbran-door-centre/cwmbran-door-centre-logo-pending.svg,,false,true,temporary-name-card
e-r-simms-garage-doors,,E.R Simms Garage Doors,Motoring & Transport,Garage Doors,NP4,Pontypool,,,,,,,Long-established Pontypool garage door supplier and installer serving trade and public customers.,,Garage door supply | Garage door installation | Garador doors | Trade supply | Public sales | Showroom advice,assets/images/businesses/e-r-simms-garage-doors/e-r-simms-garage-doors-gallery-01.jpg,assets/images/businesses/e-r-simms-garage-doors/e-r-simms-garage-doors-hero.jpg,assets/images/businesses/e-r-simms-garage-doors/e-r-simms-garage-doors-gallery-01.jpg,assets/images/businesses/e-r-simms-garage-doors/e-r-simms-garage-doors-gallery-01.jpg | assets/images/businesses/e-r-simms-garage-doors/e-r-simms-garage-doors-gallery-02.jpg | assets/images/businesses/e-r-simms-garage-doors/e-r-simms-garage-doors-gallery-03.jpg | assets/images/businesses/e-r-simms-garage-doors/e-r-simms-garage-doors-gallery-04.jpg,false,true,
showroom-shine-valeting-and-detailing,,Showroom Shine Valeting & detailing,Motoring & Transport,Valeting,NP44,Cwmbran,,,,,,,Vehicle valeting and detailing specialist offering professional care for cars of all types and budgets.,,Vehicle valeting | Vehicle detailing | Paint correction | Automotive artwork | Classic car care | Budget-conscious detailing,assets/images/businesses/showroom-shine-valeting-and-detailing/showroom-shine-valeting-and-detailing-logo.png,assets/images/businesses/showroom-shine-valeting-and-detailing/showroom-shine-valeting-and-detailing-hero.png,,assets/images/businesses/showroom-shine-valeting-and-detailing/showroom-shine-valeting-and-detailing-gallery-01.jpg | assets/images/businesses/showroom-shine-valeting-and-detailing/showroom-shine-valeting-and-detailing-gallery-02.jpg | assets/images/businesses/showroom-shine-valeting-and-detailing/showroom-shine-valeting-and-detailing-gallery-03.jpg | assets/images/businesses/showroom-shine-valeting-and-detailing/showroom-shine-valeting-and-detailing-gallery-04.jpg | assets/images/businesses/showroom-shine-valeting-and-detailing/showroom-shine-valeting-and-detailing-gallery-05.jpg | assets/images/businesses/showroom-shine-valeting-and-detailing/showroom-shine-valeting-and-detailing-gallery-06.jpg,false,true,
man-cave-and-boyzone,,Man Cave & Boyzone,Shopping & Retail,Gift Shops,NP,Pontypool,,,,,https://www.facebook.com/profile.php?id=61583531215029&locale=en_GB,https://www.instagram.com/the_man_cave_68,"Pontypool Market retailer offering gifts, fishing tackle, football and gaming accessories, gadgets, collectibles and hobby favourites.",,Fishing tackle and accessories | Football and sports gifts | Gaming accessories | Collectibles and trading cards | Remote-control cars | Men's clothing and accessories | Family games and hobby items | Unique gifts and hobby favourites,assets/images/businesses/man-cave-and-boyzone/man-cave-and-boyzone-logo.jpg,assets/images/businesses/man-cave-and-boyzone/man-cave-and-boyzone-hero.jpg,assets/images/businesses/man-cave-and-boyzone/man-cave-and-boyzone-logo.jpg,assets/images/businesses/man-cave-and-boyzone/man-cave-and-boyzone-hero.jpg | assets/images/businesses/man-cave-and-boyzone/man-cave-and-boyzone-gallery-01.jpg | assets/images/businesses/man-cave-and-boyzone/man-cave-and-boyzone-gallery-02.jpg | assets/images/businesses/man-cave-and-boyzone/man-cave-and-boyzone-gallery-03.png,true,true,
bryan-watkins-and-son-handyman-ltd,,Bryan Watkins & Son Handyman Ltd,Home & Garden,DIY / Building Supplies,NP4,Pontypool,,,,,,,"Long-established Pontypool DIY and building supplier stocking materials, tools and essentials for home and trade customers.",,DIY supplies | Building supplies | Decorating supplies | Plumbing supplies | Electrical supplies | Timber and board materials,assets/images/businesses/bryan-watkins-and-son-handyman-ltd/bryan-watkins-reference-logo.png,assets/images/businesses/bryan-watkins-and-son-handyman-ltd/bryan-watkins-and-son-handyman-ltd-hero.png,assets/images/businesses/bryan-watkins-and-son-handyman-ltd/bryan-watkins-reference-logo.png,assets/images/businesses/bryan-watkins-and-son-handyman-ltd/bryan-watkins-and-son-handyman-ltd-gallery-01.jpg,true,true,reference-cropped
cwmbran-carpet-centre,,Cwmbran Carpet Centre,Home & Garden,Carpets & Rugs,NP44,Cwmbran,,,,,,,"Cwmbran carpet specialist offering knowledgeable service, quality flooring and customer-focused advice.",,Carpet supply | Flooring advice | Customer-focused service | Carpet showroom | Quality flooring | Local flooring expertise,assets/images/businesses/cwmbran-carpet-centre/cwmbran-carpet-centre-logo.png,assets/images/businesses/cwmbran-carpet-centre/cwmbran-carpet-centre-hero.png,,assets/images/businesses/cwmbran-carpet-centre/cwmbran-carpet-centre-gallery-01.jpg | assets/images/businesses/cwmbran-carpet-centre/cwmbran-carpet-centre-gallery-02.png | assets/images/businesses/cwmbran-carpet-centre/cwmbran-carpet-centre-gallery-03.jpg,false,true,
caerleon-carpets,,Caerleon Carpets,Home & Garden,Carpets & Rugs,NP18,Newport,,,,,,,"Caerleon carpet and flooring specialist offering carpets, vinyl flooring, artificial grass and home measuring services.",,Carpets | Vinyl flooring | Artificial grass | Free measuring | Home carpet selection | Furniture moving support,assets/images/businesses/caerleon-carpets/caerleon-carpets-gallery-01.png,assets/images/businesses/caerleon-carpets/caerleon-carpets-hero.png,assets/images/businesses/caerleon-carpets/caerleon-carpets-gallery-01.png,assets/images/businesses/caerleon-carpets/caerleon-carpets-gallery-01.png | assets/images/businesses/caerleon-carpets/caerleon-carpets-gallery-02.jpg | assets/images/businesses/caerleon-carpets/caerleon-carpets-gallery-03.jpg | assets/images/businesses/caerleon-carpets/caerleon-carpets-gallery-04.jpg,false,true,
car-body-work-specialists-ltd,,Car Body Work Specialists Ltd,Motoring & Transport,Accident Repair / Vehicle Body Repair,NP44,Cwmbran,,,,,,,"Cwmbran accident repair specialists restoring vehicles after scratches, dents, bumps and insurance repairs.",,Accident repairs | Vehicle body repairs | Scratch repairs | Dent repairs | Insurance repairs | Paint and bodywork,assets/images/businesses/car-body-work-specialists-ltd/car-body-work-specialists-ltd-logo-pending.svg,assets/images/hero/np-local-business-legacy-hero.png,assets/images/businesses/car-body-work-specialists-ltd/car-body-work-specialists-ltd-logo-pending.svg,,false,true,temporary-name-card
south-wales-barbeques,,South Wales Barbeques,Home & Garden,Barbecues & Outdoor Living,NP44,Cwmbran,,,,,https://www.facebook.com/profile.php?id=61561158750312,,"Specialist BBQ and log burner retailer in Cwmbran offering premium outdoor cooking equipment, fuels and expert advice.",,Barbecues | BBQ accessories | Log burners | Wood-burning stoves | Outdoor cooking equipment | Fuels and charcoal | Firewood | Expert product advice,assets/images/businesses/south-wales-barbeques/south-wales-barbeques-logo.jpg,assets/images/businesses/south-wales-barbeques/south-wales-barbeques-hero.png,assets/images/businesses/south-wales-barbeques/south-wales-barbeques-logo.jpg,assets/images/businesses/south-wales-barbeques/south-wales-barbeques-gallery-01.jpg | assets/images/businesses/south-wales-barbeques/south-wales-barbeques-gallery-02.jpg | assets/images/businesses/south-wales-barbeques/south-wales-barbeques-gallery-03.webp | assets/images/businesses/south-wales-barbeques/south-wales-barbeques-gallery-04.webp,true,true,
station-garage-usk,,"Station Garage, Usk",Motoring & Transport,Garages,NP15,Usk,,,,,,,"Independent Usk garage providing servicing, repairs and MOT testing for cars and light commercial vehicles.",,Vehicle servicing | Vehicle repairs | MOT testing | Light commercial servicing | Manufacturer schedules | Independent garage support,assets/images/businesses/station-garage-usk/station-garage-usk-logo.jpg,assets/images/businesses/station-garage-usk/station-garage-usk-hero.jpg,,assets/images/businesses/station-garage-usk/station-garage-usk-gallery-01.jpg,false,true,
additions-accountancy,,Additions Accountancy,Professional Services,Accountants,NP44,Cwmbran,,,,,,,"Independent Cwmbran accountant offering tax, bookkeeping, self assessment and business support across Wales and the South West.",,Bookkeeping | Self assessment | CIS support | Sole trader accounts | Tax returns | HMRC negotiations,assets/images/businesses/additions-accountancy/additions-accountancy-reference-logo.png,assets/images/businesses/additions-accountancy/additions-accountancy-hero.png,assets/images/businesses/additions-accountancy/additions-accountancy-reference-logo.png,assets/images/businesses/additions-accountancy/additions-accountancy-gallery-01.jpg,true,true,reference-cropped
gt-carpentry-and-joinery,,GT Carpentry & Joinery,Trades & Services,Carpentry & Joinery,NP18,Newport,,,,,,,"Newport carpenter and joiner delivering bespoke carpentry, joinery and property improvements with over 23 years of experience.",,Bespoke carpentry | Joinery | General carpentry | Property improvements | Custom woodwork | Carpentry advice,,assets/images/businesses/gt-carpentry-and-joinery/gt-carpentry-and-joinery-hero.jpg,assets/images/businesses/gt-carpentry-and-joinery/gt-carpentry-and-joinery-gallery-01.jpg,assets/images/businesses/gt-carpentry-and-joinery/gt-carpentry-and-joinery-gallery-01.jpg | assets/images/businesses/gt-carpentry-and-joinery/gt-carpentry-and-joinery-gallery-02.png | assets/images/businesses/gt-carpentry-and-joinery/gt-carpentry-and-joinery-gallery-03.jpg,true,true,
cwmbran-timber-and-diy-supplies,,Cwmbran Timber & DIY Supplies,Home & Garden,DIY / Building Supplies,NP44,Cwmbran,,,,,,,Family-run timber and building materials supplier helping tradespeople and DIY customers with quality products and advice.,,Timber supplies | Building materials | UPVC products | DIY supplies | Trade support | Product advice,assets/images/businesses/cwmbran-timber-and-diy-supplies/cwmbran-timber-and-diy-supplies-logo.jpg,assets/images/businesses/cwmbran-timber-and-diy-supplies/cwmbran-timber-and-diy-supplies-hero.jpg,,,false,true,
