_publishStatus,Title,Businesses (Item),Business Name,businessName1,Main Category,Short Description,Specific Category,About Us,Services,Logo,Hero Banner,Gallery Images,Phone,Email,Website URL,Facebook URL,Instagram URL,TikTok URL,LinkedIn URL,YouTube URL,Address,Town / Locality,Postcode,Google Maps URL,Category,Page URL,ID,Created Date,Updated Date,Owner,_publishDate,_draftDate
,MG Carpets & Rugs,/businesses-2/mg-carpets-%26-rugs,MG Carpets & Rugs,,Home & Garden,MG Carpets & Rugs is a local carpets & rugs business serving customers across the NP postcode area.,Carpets & Rugs,MG Carpets & Rugs is a local carpets & rugs business serving customers across the NP postcode area.,Carpets & Rugs,,assets/images/hero/sugar-loaf-abergavenny-panoramic.png,,,,https://www.newportlocalbusiness.co.uk/mg-carpets-rugs,,,,,,Newport / Cwmbran,Cwmbran,NP,,Carpets & Rugs,https://www.newportlocalbusiness.co.uk/mg-carpets-rugs,5cdab2f6-bda1-42a3-a5d8-bf720538076f,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,Iris Blue Celebrancy,/businesses-2/iris-blue-celebrancy,Iris Blue Celebrancy,,"Health, Beauty & Lifestyle",Iris Blue Celebrancy is a local celebrants business serving customers across the NP postcode area.,Celebrants,Iris Blue Celebrancy is a local celebrants business serving customers across the NP postcode area.,Celebrants,,assets/images/hero/np-local-business-legacy-hero.png,,07455 747373,,https://www.newportlocalbusiness.co.uk/irisbluecelebrancy,,,,,,Newport,Newport,NP,,Celebrants,https://www.newportlocalbusiness.co.uk/irisbluecelebrancy,60a5c438-0774-4565-a4e1-9fd0cec1e266,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,"Springvale MOT Centre, Cwmbran",/businesses-2/springvale-mot-centre%2C-cwmbran,"Springvale MOT Centre, Cwmbran",,Motoring & Transport,"Springvale MOT Centre, Cwmbran is a local garages business serving customers across the NP postcode area.",Garages,"Springvale MOT Centre, Cwmbran is a local garages business serving customers across the NP postcode area.",Garages,,assets/images/hero/sugar-loaf-abergavenny-panoramic.png,,,,https://www.newportlocalbusiness.co.uk/springvale-mot-centre,,,,,,"97 Springvale Industrial Est, Cwmbran, Torfaen, NP44 5BH, NP44 5BH",Cwmbran,NP44,,Garages,https://www.newportlocalbusiness.co.uk/springvale-mot-centre,62ef0abb-f720-42eb-aa3a-8b5426453f9a,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,Groves Gas,/businesses-2/groves-gas,Groves Gas,,Trades & Services,Groves Gas is a local gas engineers business serving customers across the NP postcode area.,Gas Engineers,Groves Gas is a local gas engineers business serving customers across the NP postcode area.,Gas Engineers,,assets/images/hero/np-local-business-legacy-hero.png,,,,https://www.newportlocalbusiness.co.uk/groves-gas,,,,,,"Unit 8, Hill Street Ind Est, Cwmbran, Torfaen, NP44 7PG, NP44 7PG",Cwmbran,NP44,,Gas Engineers,https://www.newportlocalbusiness.co.uk/groves-gas,6d71c2fb-87f3-40cc-aeff-cb677076f6eb,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,Gazlocks Locksmiths,/businesses-2/gazlocks-locksmiths,Gazlocks Locksmiths,,Trades & Services,Gazlocks Locksmiths is a local locksmiths business serving customers across the NP postcode area.,Locksmiths,Gazlocks Locksmiths is a local locksmiths business serving customers across the NP postcode area.,Locksmiths,,assets/images/hero/sugar-loaf-abergavenny-panoramic.png,,,,https://www.newportlocalbusiness.co.uk/gazlocks-locksmith,,,,,,"Cwmbran, Torfaen",Cwmbran,NP,,Locksmiths,https://www.newportlocalbusiness.co.uk/gazlocks-locksmith,7077b9f0-fbdf-457a-94d5-ae86e352776f,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,Phil Retter Car Sales,/businesses-2/phil-retter-car-sales,Phil Retter Car Sales,,Motoring & Transport,Phil Retter Car Sales is a local car sales business serving customers across the NP postcode area.,Car Sales,Phil Retter Car Sales is a local car sales business serving customers across the NP postcode area.,Car Sales,,assets/images/hero/np-local-business-legacy-hero.png,,,,https://www.newportlocalbusiness.co.uk/phillip-retter-car-sales,,,,,,"Darran Road, Risca, Newport, NP11 7AD, NP11 7AD",Newport,NP11,,Car Sales,https://www.newportlocalbusiness.co.uk/phillip-retter-car-sales,748be04d-b80a-4316-9a1c-f7166167e0b3,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,Red Hat Printing & Embroidery,/businesses-2/red-hat-printing-%26-embroidery,Red Hat Printing & Embroidery,,Professional Services,Red Hat Printing & Embroidery is a local printing business serving customers across the NP postcode area.,Printing,Red Hat Printing & Embroidery is a local printing business serving customers across the NP postcode area.,Printing,,assets/images/hero/sugar-loaf-abergavenny-panoramic.png,,,,https://www.newportlocalbusiness.co.uk/red-hat-printing-embriodery,,,,,,Newport,Newport,NP,,Printing,https://www.newportlocalbusiness.co.uk/red-hat-printing-embriodery,8582b050-44a4-4732-a7bf-310e306aabf2,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,Murray's Minibus Hire,/businesses-2/murray's-minibus-hire,Murray's Minibus Hire,,Motoring & Transport,Murray's Minibus Hire is a local minibus hire business serving customers across the NP postcode area.,Minibus Hire,Murray's Minibus Hire is a local minibus hire business serving customers across the NP postcode area.,Minibus Hire,,assets/images/hero/np-local-business-legacy-hero.png,,,,https://www.newportlocalbusiness.co.uk/murrays-minibus-hire,,,,,,Pontypool,Pontypool,NP,,Minibus Hire,https://www.newportlocalbusiness.co.uk/murrays-minibus-hire,88683d71-73f9-4279-9511-d41b86a51b4c,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,Pure Vans Ltd,/businesses-2/pure-vans-ltd,Pure Vans Ltd,,Motoring & Transport,Pure Vans Ltd is a local vehicle leasing business serving customers across the NP postcode area.,Vehicle Leasing,Pure Vans Ltd is a local vehicle leasing business serving customers across the NP postcode area.,Vehicle Leasing,,assets/images/hero/sugar-loaf-abergavenny-panoramic.png,,,,https://www.newportlocalbusiness.co.uk/pure-vans-ltd,,,,,,"273A Corporation Rd, Newport, NP19 0FD, NP19 0FD",Newport,NP19,,Vehicle Leasing,https://www.newportlocalbusiness.co.uk/pure-vans-ltd,89de6398-0e0e-4c86-b111-c0c9b33a436d,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,Frets Guitars,/businesses-2/frets-guitars,Frets Guitars,,Shopping & Retail,Frets Guitars is a local music shops business serving customers across the NP postcode area.,Music Shops,Frets Guitars is a local music shops business serving customers across the NP postcode area.,Music Shops,,assets/images/hero/np-local-business-legacy-hero.png,,,,https://www.newportlocalbusiness.co.uk/frets-guitars,,,,,,"Pontypool Market, Market St, Pontypool",Pontypool,NP,,Music Shops,https://www.newportlocalbusiness.co.uk/frets-guitars,8caa85d0-6299-4a6b-ae22-88a5476997af,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,Goytre Car Company,/businesses-2/goytre-car-company,Goytre Car Company,,Motoring & Transport,Goytre Car Company is a local car sales business serving customers across the NP postcode area.,Car Sales,Goytre Car Company is a local car sales business serving customers across the NP postcode area.,Car Sales,,assets/images/hero/sugar-loaf-abergavenny-panoramic.png,,,,https://www.newportlocalbusiness.co.uk/goytre-car-company,,,,,,"Old Pound Garage, Goytre, Pontypool, NP4 0BA, NP4 0BA",Pontypool,NP4,,Car Sales,https://www.newportlocalbusiness.co.uk/goytre-car-company,91357b42-b8f2-4b99-9eb3-fbdabda04bf0,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,Cwmbran Curtains & Blinds,/businesses-2/cwmbran-curtains-%26-blinds,Cwmbran Curtains & Blinds,,Home & Garden,Cwmbran Curtains & Blinds is a local curtains & blinds business serving customers across the NP postcode area.,Curtains & Blinds,Cwmbran Curtains & Blinds is a local curtains & blinds business serving customers across the NP postcode area.,Curtains & Blinds,,assets/images/hero/np-local-business-legacy-hero.png,,07887 677110,,https://www.newportlocalbusiness.co.uk/cwmbran-curtains-blinds,,,,,,"171 Larch Grove, Malpas, Newport, NP20 6LA, NP20 6LA",Newport,NP20,,Curtains & Blinds,https://www.newportlocalbusiness.co.uk/cwmbran-curtains-blinds,9574842a-e212-40ea-9260-171e019a643a,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,B Active Sports Massage & Therapy,/businesses-2/b-active-sports-massage-%26-therapy,B Active Sports Massage & Therapy,,"Health, Beauty & Lifestyle",B Active Sports Massage & Therapy is a local sports massage business serving customers across the NP postcode area.,Sports Massage,B Active Sports Massage & Therapy is a local sports massage business serving customers across the NP postcode area.,Sports Massage,,assets/images/hero/sugar-loaf-abergavenny-panoramic.png,,,,https://www.newportlocalbusiness.co.uk/b-active-clinic,,,,,,"Turnpike Road, Croesyceiliog, Cwmbran, Torfaen, NP44 2AG, NP44 2AG",Cwmbran,NP44,,Sports Massage,https://www.newportlocalbusiness.co.uk/b-active-clinic,a01d427d-087b-4bc2-bf42-bb2458aca798,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,The Little Computer Shop,/businesses-2/the-little-computer-shop,The Little Computer Shop,,Professional Services,The Little Computer Shop is a local computers & repair business serving customers across the NP postcode area.,Computers & Repair,The Little Computer Shop is a local computers & repair business serving customers across the NP postcode area.,Computers & Repair,,assets/images/hero/np-local-business-legacy-hero.png,,,,https://www.newportlocalbusiness.co.uk/little-computer-shop,,,,,,"60 Windsor Rd, Griffithstown, Pontypool, NP4 5HY, NP4 5HY",Pontypool,NP4,,Computers & Repair,https://www.newportlocalbusiness.co.uk/little-computer-shop,af47e32c-8320-4229-8315-de88d7c3b103,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,Happier Feet,/businesses-2/happier-feet,Happier Feet,,"Health, Beauty & Lifestyle",Happier Feet is a local chiropodists business serving customers across the NP postcode area.,Chiropodists,Happier Feet is a local chiropodists business serving customers across the NP postcode area.,Chiropodists,,assets/images/hero/sugar-loaf-abergavenny-panoramic.png,,,,https://www.newportlocalbusiness.co.uk/happier-feet,,,,,,"26 Tredegar Street, Risca, Newport, NP11 6BU, NP11 6BU",Newport,NP11,,Chiropodists,https://www.newportlocalbusiness.co.uk/happier-feet,b14eb51a-3e4f-46ee-99fb-51a47eb0799d,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,One2One Estate Agents Ltd,/businesses-2/one2one-estate-agents-ltd,One2One Estate Agents Ltd,,Professional Services,One2One Estate Agents Ltd is a local estate agents business serving customers across the NP postcode area.,Estate Agents,One2One Estate Agents Ltd is a local estate agents business serving customers across the NP postcode area.,Estate Agents,,assets/images/hero/np-local-business-legacy-hero.png,,,,https://www.newportlocalbusiness.co.uk/one-2-one-estate-agents,,,,,,Newport,Newport,NP,,Estate Agents,https://www.newportlocalbusiness.co.uk/one-2-one-estate-agents,b8e91566-62b4-491e-a2e3-1bf987a88d9d,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,Windsor Wedding Car Hire,/businesses-2/windsor-wedding-car-hire,Windsor Wedding Car Hire,,Motoring & Transport,Windsor Wedding Car Hire is a local wedding car hire business serving customers across the NP postcode area.,Wedding Car Hire,Windsor Wedding Car Hire is a local wedding car hire business serving customers across the NP postcode area.,Wedding Car Hire,,assets/images/hero/sugar-loaf-abergavenny-panoramic.png,,,,#,,,,,,NP area,NP area,NP,,Wedding Car Hire,,bb82de20-85c5-47fa-a872-bc0f3ea28be6,2026-07-14T10:10:57Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,Beds Direct,/businesses-2/beds-direct,Beds Direct,,Home & Garden,Beds Direct is a local furniture business serving customers across the NP postcode area.,Furniture,Beds Direct is a local furniture business serving customers across the NP postcode area.,Furniture,,assets/images/hero/np-local-business-legacy-hero.png,,,,https://www.newportlocalbusiness.co.uk/beds-direct,,,,,,"Ponthir Road, Caerleon, Newport, NP18 3NY, NP18 3NY",Newport,NP18,,Furniture,https://www.newportlocalbusiness.co.uk/beds-direct,c39136c3-668a-4b37-9fe3-39f342ad0dfe,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,Cwmbran Door Centre,/businesses-2/cwmbran-door-centre,Cwmbran Door Centre,,Trades & Services,Cwmbran Door Centre is a local doors business serving customers across the NP postcode area.,Doors,Cwmbran Door Centre is a local doors business serving customers across the NP postcode area.,Doors,,assets/images/hero/sugar-loaf-abergavenny-panoramic.png,,,,https://www.newportlocalbusiness.co.uk/cwmbran-door-centre,,,,,,"Oldbury Road, Cwmbran",Cwmbran,NP,,Doors,https://www.newportlocalbusiness.co.uk/cwmbran-door-centre,c4d5ae9e-fe8e-4fd6-97fe-f0fc47153b06,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,E.R Simms Garage Doors,/businesses-2/e.r-simms-garage-doors,E.R Simms Garage Doors,,Motoring & Transport,E.R Simms Garage Doors is a local garage doors business serving customers across the NP postcode area.,Garage Doors,E.R Simms Garage Doors is a local garage doors business serving customers across the NP postcode area.,Garage Doors,,assets/images/hero/np-local-business-legacy-hero.png,,,,https://www.newportlocalbusiness.co.uk/er-simms-garage-doors,,,,,,"Unit 17, Pontnewynydd Small Business Park, Pontnewynydd, Pontypool, Torfaen, NP4 6AD, NP4 6AD",Pontypool,NP4,,Garage Doors,https://www.newportlocalbusiness.co.uk/er-simms-garage-doors,d8df7521-ef19-4ef5-b69f-a90d889ef258,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,Showroom Shine Valeting & detailing,/businesses-2/showroom-shine-valeting-%26-detailing,Showroom Shine Valeting & detailing,,Motoring & Transport,Showroom Shine Valeting & detailing is a local valeting business serving customers across the NP postcode area.,Valeting,Showroom Shine Valeting & detailing is a local valeting business serving customers across the NP postcode area.,Valeting,,assets/images/hero/sugar-loaf-abergavenny-panoramic.png,,,,https://www.newportlocalbusiness.co.uk/showroom-shine,,,,,,"No 3 Forgeside, Cwmbran, NP44 3LN, NP44 3LN",Cwmbran,NP44,,Valeting,https://www.newportlocalbusiness.co.uk/showroom-shine,df48237f-77b6-48eb-be81-6652f9d8f20e,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,Man Cave & Boyzone,/businesses-2/man-cave-%26-boyzone,Man Cave & Boyzone,,Shopping & Retail,Man Cave & Boyzone is a local gift shops business serving customers across the NP postcode area.,Gift Shops,Man Cave & Boyzone is a local gift shops business serving customers across the NP postcode area.,Gift Shops,,assets/images/hero/np-local-business-legacy-hero.png,,,,https://www.newportlocalbusiness.co.uk/man-cave-boy-zone,,,,,,Pontypool Market,Pontypool,NP,,Gift Shops,https://www.newportlocalbusiness.co.uk/man-cave-boy-zone,e3cb7f6f-6e5c-4bb7-8034-1c39e38e63b7,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,Bryan Watkins & Son Handyman Ltd,/businesses-2/bryan-watkins-%26-son-handyman-ltd,Bryan Watkins & Son Handyman Ltd,,Home & Garden,Bryan Watkins & Son Handyman Ltd is a local diy / building supplies business serving customers across the NP postcode area.,DIY / Building Supplies,Bryan Watkins & Son Handyman Ltd is a local diy / building supplies business serving customers across the NP postcode area.,DIY / Building Supplies,,assets/images/hero/sugar-loaf-abergavenny-panoramic.png,,,,https://www.newportlocalbusiness.co.uk/brian-watkins-son-handyman,,,,,,"16 Osborne Road, Pontypool, Torfaen, NP4 6LU, NP4 6LU",Pontypool,NP4,,DIY / Building Supplies,https://www.newportlocalbusiness.co.uk/brian-watkins-son-handyman,e67a7863-0dee-4f40-88bb-9705b1f113cb,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,Cwmbran Carpet Centre,/businesses-2/cwmbran-carpet-centre,Cwmbran Carpet Centre,,Home & Garden,Cwmbran Carpet Centre is a local carpets & rugs business serving customers across the NP postcode area.,Carpets & Rugs,Cwmbran Carpet Centre is a local carpets & rugs business serving customers across the NP postcode area.,Carpets & Rugs,,assets/images/hero/np-local-business-legacy-hero.png,,,,https://www.newportlocalbusiness.co.uk/cwmbran-carpet-centre,,,,,,"Turnpike, Croesyceiliog, Cwmbran, Torfaen, NP44 2AG, NP44 2AG",Cwmbran,NP44,,Carpets & Rugs,https://www.newportlocalbusiness.co.uk/cwmbran-carpet-centre,e7731976-e319-42bb-a35c-f9f229435857,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
,Caerleon Carpets,/businesses-2/caerleon-carpets,Caerleon Carpets,,Home & Garden,Caerleon Carpets is a local carpets & rugs business serving customers across the NP postcode area.,Carpets & Rugs,Caerleon Carpets is a local carpets & rugs business serving customers across the NP postcode area.,Carpets & Rugs,,assets/images/hero/sugar-loaf-abergavenny-panoramic.png,,,,https://www.newportlocalbusiness.co.uk/caerleon-carpets,,,,,,"Ponthir Road, Caerleon, Newport, NP18 3NY, NP18 3NY",Newport,NP18,,Carpets & Rugs,https://www.newportlocalbusiness.co.uk/caerleon-carpets,e8d33550-8c07-469d-bc66-e5bb50bd4564,2026-07-14T09:55:16Z,2026-07-14T15:04:05Z,b741808e-b0a0-4682-a495-a6d61559d3f7,,
